original,translation,Agreement
"I do feel that to use a standardised assessment form would be gold standard care, it gives a reliable base screen that then can be used again to judge treatment and progression. I should use this more often but am often time limited and patents will often be keen to talk and use unstructured discussion.","I do feel that to use a standardised assessment form would be gold standard care, it gives a reliable base screen that then can be used again to judge treatment and progression. I should use this more often but am often time limited and patents will often be keen to talk and use unstructured discussion.",6. agree
"Het is belangrijk om een methode aan te houden zodat iedereen op dezelfde manier werkt en er binnen de zorg een lijn wordt aangehouden, maar tegelijkertijd is iedereen weer anders en vallen er regelmatig mensen buiten de richtlijnen. Afwijkend van protocol of methode","It is important to adhere to a method so that everyone works the same way and a line is maintained within care, but at the same time everyone is different and people regularly fall outside the guidelines.Deviating from protocol or method","5. somewhat
agree"
It is importance to do what is right.,It is importance to do what is right.,"3. somewhat
disagree"
Sometimes it's important but this doesn't work for all patients. Clinical opinion is necessary.,Sometimes it's important but this doesn't work for all patients. Clinical opinion is necessary.,"5. somewhat
agree"
"I think it is tricky to determine the answer to this question. I think the presentations of depression can be very variable, so oftentimes I rely on simple history taking. I find that sometimes with questionnaires e.g., PHQ-9 there might be a response bias, where a patient might give answers they think I or other clinical professionals want to hear. This rating tool has high levels of statistcal support nevertheless.","I think it is tricky to determine the answer to this question. I think the presentations of depression can be very variable, so oftentimes I rely on simple history taking. I find that sometimes with questionnaires e.g., PHQ-9 there might be a response bias, where a patient might give answers they think I or other clinical professionals want to hear. This rating tool has high levels of statistcal support nevertheless.",6. agree
These assessment methods are proven and established in guidelines for a reason. They allow for a generalised definition of depression in the population,These assessment methods are proven and established in guidelines for a reason. They allow for a generalised definition of depression in the population,"7. strongly
agree"
"This is useful especially in a setting that allows for this ie clinic visit/office; working in an emergency setting there is often not time or resources to go though many of the structured interviews; listening to patient and allowing them to tell you the diagnosis is most important in that initial setting, and then getting psychiatry involved to further risk stratify and diagnose","This is useful especially in a setting that allows for this ie clinic visit/office; working in an emergency setting there is often not time or resources to go though many of the structured interviews; listening to patient and allowing them to tell you the diagnosis is most important in that initial setting, and then getting psychiatry involved to further risk stratify and diagnose","5. somewhat
agree"
Without which you have no rationale or basis for measurement of your outcomes,Without which you have no rationale or basis for measurement of your outcomes,"7. strongly
agree"
"Our clients are in a home that is my primary place of work. Being around them all of the time, it is easier to diagnose, treat & follow-up.","Our clients are in a home that is my primary place of work. Being around them all of the time, it is easier to diagnose, treat & follow-up.",4. neutral
Clinical expertise is also important,Clinical expertise is also important,"5. somewhat
agree"
"Not everyone is a one size fits when using these methods. Some patients do not answer truthfully and as a clinician, you have to pay attention to body language as well.","Not everyone is a one size fits when using these methods. Some patients do not answer truthfully and as a clinician, you have to pay attention to body language as well.","5. somewhat
agree"
This way you don’t miss out key elements that could be overlooked,This way you don’t miss out key elements that could be overlooked,6. agree
I agree it helps but other methods are effective and more important.,I agree it helps but other methods are effective and more important.,"5. somewhat
agree"
The clinical interview is equally as important as use of standardized tools; both should be used.,The clinical interview is equally as important as use of standardized tools; both should be used.,6. agree
from a novice perspective this seems the most appropriate,from a novice perspective this seems the most appropriate,6. agree
I prefer using methods with high levels of reliability and validity as these are the ones that have been most frequently researched and proven to be beneficial in a clinical setting.,I prefer using methods with high levels of reliability and validity as these are the ones that have been most frequently researched and proven to be beneficial in a clinical setting.,"7. strongly
agree"
I feel each individual is different,I feel each individual is different,"5. somewhat
agree"
Everyone isn’t going to fit into a cookie cutter box. People have to be taken into consideration,Everyone isn’t going to fit into a cookie cutter box. People have to be taken into consideration,"5. somewhat
agree"
I think it's important to use standardized assessments because they've been tested. The only situations I would think to not ONLY use them is in cultural scenarios or when people who under report their symptoms appear more severe in session.,I think it's important to use standardized assessments because they've been tested. The only situations I would think to not ONLY use them is in cultural scenarios or when people who under report their symptoms appear more severe in session.,6. agree
"They are useful to use in conjunction with patient interview information gathering, especially to map progress.","They are useful to use in conjunction with patient interview information gathering, especially to map progress.",6. agree
"Not everyone fits into the categories of an assessment method, things need to be adjusted to an individual","Not everyone fits into the categories of an assessment method, things need to be adjusted to an individual","3. somewhat
disagree"
It is advisable to ask few questions about it,It is advisable to ask few questions about it,6. agree
I have not used structured methods for assessment. I have used scales such as ph9.,I have not used structured methods for assessment. I have used scales such as ph9.,4. neutral
